time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1769154355424000000,107.087,0.7400000095367432,unplugged,false
1769154356424000000,108.087,0.7400000095367432,unplugged,false
1769154357425000000,109.088,0.7400000095367432,unplugged,false
1769154358427000000,110.09,0.7400000095367432,unplugged,false
1769154359427000000,111.09,0.7400000095367432,unplugged,false
1769154360426000000,112.08899975585938,0.7400000095367432,unplugged,false
1769154361426000000,113.08899975585938,0.7400000095367432,unplugged,false
1769154362427000000,114.09,0.7400000095367432,unplugged,false
1769154363427000000,115.09,0.7400000095367432,unplugged,false
1769154364429000000,116.092,0.7400000095367432,unplugged,false
1769154365428000000,117.091,0.7400000095367432,unplugged,false
1769154366429000000,118.092,0.7400000095367432,unplugged,false
1769154367430000000,119.09300024414063,0.7400000095367432,unplugged,false
1769154368431000000,120.094,0.7400000095367432,unplugged,false
1769154369435000000,121.098,0.7400000095367432,unplugged,false
1769154370436000000,122.099,0.7400000095367432,unplugged,false
1769154371437000000,123.1,0.7400000095367432,unplugged,false
1769154372440000000,124.103,0.7400000095367432,unplugged,false
1769154373441000000,125.104,0.7400000095367432,unplugged,false
1769154374442000000,126.10499975585938,0.7400000095367432,unplugged,false
1769154375444000000,127.107,0.7400000095367432,unplugged,false
1769154376444000000,128.107,0.7400000095367432,unplugged,false
1769154377444000000,129.107,0.7400000095367432,unplugged,false
1769154378445000000,130.108,0.7400000095367432,unplugged,false
1769154379459000000,131.122,0.7400000095367432,unplugged,false
1769154380453000000,132.116,0.7400000095367432,unplugged,false
1769154381455000000,133.118,0.7400000095367432,unplugged,false
1769154382457000000,134.12,0.7400000095367432,unplugged,false
1769154383457000000,135.12,0.7400000095367432,unplugged,false
1769154384458000000,136.12099975585937,0.7400000095367432,unplugged,false
1769154385458000000,137.12099975585937,0.7400000095367432,unplugged,false
1769154386459000000,138.122,0.7400000095367432,unplugged,false
1769154387459000000,139.122,0.7400000095367432,unplugged,false
1769154388459000000,140.122,0.7400000095367432,unplugged,false
1769154389460000000,141.123,0.7400000095367432,unplugged,false
1769154390460000000,142.123,0.7400000095367432,unplugged,false
1769154391461000000,143.124,0.7400000095367432,unplugged,false
1769154392461000000,144.124,0.7400000095367432,unplugged,false
1769154393462000000,145.12500024414064,0.7400000095367432,unplugged,false
1769154394462000000,146.12500024414064,0.7400000095367432,unplugged,false
1769154395462000000,147.12500024414064,0.7400000095367432,unplugged,false
1769154396463000000,148.126,0.7400000095367432,unplugged,false
1769154397464000000,149.127,0.7400000095367432,unplugged,false
1769154398464000000,150.127,0.7400000095367432,unplugged,false
1769154399465000000,151.128,0.7400000095367432,unplugged,false
1769154400465000000,152.128,0.7400000095367432,unplugged,false
1769154401464000000,153.127,0.7400000095367432,unplugged,false
1769154402465000000,154.128,0.7400000095367432,unplugged,false
1769154403465000000,155.128,0.7400000095367432,unplugged,false
1769154404465000000,156.128,0.7400000095367432,unplugged,false
1769154405466000000,157.12899975585938,0.7400000095367432,unplugged,false
1769154406469000000,158.132,0.7400000095367432,unplugged,false
1769154407470000000,159.13300024414062,0.7400000095367432,unplugged,false
1769154408470000000,160.13300024414062,0.7400000095367432,unplugged,false
1769154409471000000,161.134,0.7400000095367432,unplugged,false
1769154410472000000,162.135,0.7400000095367432,unplugged,false
1769154411472000000,163.135,0.7400000095367432,unplugged,false
1769154412475000000,164.138,0.7400000095367432,unplugged,false
1769154413474000000,165.13699975585936,0.7400000095367432,unplugged,false
1769154414475000000,166.138,0.7400000095367432,unplugged,false
1769154415477000000,167.14,0.7400000095367432,unplugged,false
1769154416477000000,168.14,0.7400000095367432,unplugged,false
1769154417479000000,169.142,0.7400000095367432,unplugged,false
1769154418479000000,170.142,0.7400000095367432,unplugged,false
1769154419481000000,171.144,0.7400000095367432,unplugged,false
1769154420481000000,172.144,0.7400000095367432,unplugged,false
1769154421483000000,173.146,0.7400000095367432,unplugged,false
1769154422487000000,174.15,0.7400000095367432,unplugged,false
1769154423483000000,175.146,0.7400000095367432,unplugged,false
1769154424483000000,176.146,0.7400000095367432,unplugged,false
1769154425483000000,177.146,0.7400000095367432,unplugged,false
1769154426484000000,178.147,0.7400000095367432,unplugged,false
1769154427485000000,179.148,0.7400000095367432,unplugged,false
1769154428485000000,180.148,0.7400000095367432,unplugged,false
1769154429486000000,181.14900024414064,0.7400000095367432,unplugged,false
1769154430487000000,182.15,0.7400000095367432,unplugged,false
1769154431487000000,183.15,0.7400000095367432,unplugged,false
1769154432488000000,184.151,0.7400000095367432,unplugged,false
1769154433487000000,185.15,0.7400000095367432,unplugged,false
1769154434488000000,186.151,0.7400000095367432,unplugged,false
1769154435488000000,187.151,0.7400000095367432,unplugged,false
1769154436488000000,188.151,0.7400000095367432,unplugged,false
1769154437489000000,189.152,0.7400000095367432,unplugged,false
1769154438491000000,190.154,0.7400000095367432,unplugged,false
1769154439491000000,191.154,0.7400000095367432,unplugged,false
1769154440492000000,192.155,0.7400000095367432,unplugged,false
1769154441491000000,193.154,0.7400000095367432,unplugged,false
1769154442492000000,194.155,0.7400000095367432,unplugged,false
1769154443492000000,195.155,0.7400000095367432,unplugged,false
1769154444494000000,196.15700024414062,0.7400000095367432,unplugged,false
1769154445492000000,197.155,0.7400000095367432,unplugged,false
1769154446494000000,198.15700024414062,0.7400000095367432,unplugged,false
1769154447493000000,199.156,0.7400000095367432,unplugged,false
1769154448494000000,200.15700024414062,0.7400000095367432,unplugged,false
1769154449496000000,201.159,0.7400000095367432,unplugged,false
1769154450495000000,202.158,0.7400000095367432,unplugged,false
1769154451496000000,203.159,0.7400000095367432,unplugged,false
1769154452497000000,204.16,0.7400000095367432,unplugged,false
1769154453498000000,205.16099975585936,0.7400000095367432,unplugged,false
1769154454498000000,206.16099975585936,0.7400000095367432,unplugged,false
1769154455500000000,207.163,0.7400000095367432,unplugged,false
1769154456500000000,208.163,0.7400000095367432,unplugged,false
1769154457501000000,209.164,0.7400000095367432,unplugged,false
1769154458502000000,210.16500024414063,0.7400000095367432,unplugged,false
1769154459503000000,211.166,0.7400000095367432,unplugged,false
1769154460504000000,212.167,0.7400000095367432,unplugged,false
1769154461504000000,213.167,0.7400000095367432,unplugged,false
1769154462503000000,214.166,0.7400000095367432,unplugged,false
1769154463504000000,215.167,0.7400000095367432,unplugged,false
1769154464505000000,216.168,0.7400000095367432,unplugged,false
1769154465505000000,217.168,0.7400000095367432,unplugged,false
1769154466506000000,218.16899975585937,0.7400000095367432,unplugged,false
1769154467507000000,219.17,0.7400000095367432,unplugged,false
1769154468507000000,220.17,0.7400000095367432,unplugged,false
1769154469508000000,221.171,0.7400000095367432,unplugged,false
1769154470509000000,222.172,0.7400000095367432,unplugged,false
1769154471510000000,223.17300024414064,0.7400000095367432,unplugged,false
1769154472510000000,224.17300024414064,0.7400000095367432,unplugged,false
1769154473511000000,225.174,0.7400000095367432,unplugged,false
1769154474512000000,226.175,0.7400000095367432,unplugged,false
1769154475512000000,227.175,0.7400000095367432,unplugged,false
1769154476513000000,228.176,0.7400000095367432,unplugged,false
1769154477514000000,229.17699975585938,0.7400000095367432,unplugged,false
1769154478514000000,230.17699975585938,0.7400000095367432,unplugged,false
1769154479515000000,231.178,0.7400000095367432,unplugged,false
1769154480516000000,232.179,0.7400000095367432,unplugged,false
1769154481517000000,233.18,0.7400000095367432,unplugged,false
1769154482517000000,234.18,0.7400000095367432,unplugged,false
1769154483518000000,235.18100024414062,0.7400000095367432,unplugged,false
1769154484518000000,236.18100024414062,0.7400000095367432,unplugged,false
1769154485518000000,237.18100024414062,0.7400000095367432,unplugged,false
1769154486519000000,238.182,0.7400000095367432,unplugged,false
1769154487519000000,239.182,0.7400000095367432,unplugged,false
1769154488520000000,240.183,0.7400000095367432,unplugged,false
1769154489520000000,241.183,0.7400000095367432,unplugged,false
1769154490520000000,242.183,0.7400000095367432,unplugged,false
1769154491521000000,243.184,0.7400000095367432,unplugged,false
1769154492521000000,244.184,0.7400000095367432,unplugged,false
1769154493520000000,245.183,0.7400000095367432,unplugged,false
1769154494521000000,246.184,0.7400000095367432,unplugged,false
1769154495524000000,247.187,0.7400000095367432,unplugged,false
1769154496523000000,248.186,0.7400000095367432,unplugged,false
1769154497524000000,249.187,0.7400000095367432,unplugged,false
1769154498525000000,250.188,0.7400000095367432,unplugged,false
1769154499526000000,251.18900024414063,0.7400000095367432,unplugged,false
1769154500527000000,252.19,0.7400000095367432,unplugged,false
1769154501528000000,253.191,0.7400000095367432,unplugged,false
1769154502528000000,254.191,0.7400000095367432,unplugged,false
1769154503528000000,255.191,0.7400000095367432,unplugged,false
1769154504528000000,256.191,0.7400000095367432,unplugged,false
1769154505529000000,257.192,0.7400000095367432,unplugged,false
1769154506529000000,258.192,0.7400000095367432,unplugged,false
1769154507531000000,259.194,0.7400000095367432,unplugged,false
1769154508532000000,260.195,0.7400000095367432,unplugged,false
1769154509533000000,261.196,0.7400000095367432,unplugged,false
1769154510533000000,262.196,0.7400000095367432,unplugged,false
1769154511532000000,263.195,0.7400000095367432,unplugged,false
1769154512532000000,264.195,0.7400000095367432,unplugged,false
1769154513550000000,265.21300024414063,0.7400000095367432,unplugged,false
1769154514533000000,266.196,0.7400000095367432,unplugged,false
1769154515534000000,267.1970002441406,0.7400000095367432,unplugged,false
1769154516535000000,268.198,0.7400000095367432,unplugged,false
1769154517536000000,269.199,0.7400000095367432,unplugged,false
1769154518536000000,270.199,0.7400000095367432,unplugged,false
1769154519537000000,271.2,0.7400000095367432,unplugged,false
1769154520538000000,272.20099975585936,0.7400000095367432,unplugged,false
1769154521539000000,273.202,0.7400000095367432,unplugged,false
1769154522540000000,274.203,0.7400000095367432,unplugged,false
1769154523539000000,275.202,0.7400000095367432,unplugged,false
1769154524540000000,276.203,0.7400000095367432,unplugged,false
1769154525540000000,277.203,0.7400000095367432,unplugged,false
1769154526542000000,278.20500024414065,0.7400000095367432,unplugged,false
1769154527541000000,279.204,0.7400000095367432,unplugged,false
1769154528543000000,280.206,0.7400000095367432,unplugged,false
1769154529543000000,281.206,0.7400000095367432,unplugged,false
1769154530544000000,282.207,0.7400000095367432,unplugged,false
1769154531544000000,283.207,0.7400000095367432,unplugged,false
1769154532544000000,284.207,0.7400000095367432,unplugged,false
1769154533544000000,285.207,0.7400000095367432,unplugged,false
1769154534544000000,286.207,0.7400000095367432,unplugged,false
1769154535544000000,287.207,0.7400000095367432,unplugged,false
1769154536556000000,288.219,0.7400000095367432,unplugged,false
1769154537547000000,289.21,0.7400000095367432,unplugged,false
1769154538547000000,290.21,0.7400000095367432,unplugged,false
1769154539549000000,291.212,0.7400000095367432,unplugged,false
1769154540550000000,292.21300024414063,0.7400000095367432,unplugged,false
1769154541550000000,293.21300024414063,0.7400000095367432,unplugged,false
1769154542552000000,294.215,0.7400000095367432,unplugged,false
1769154543554000000,295.2169997558594,0.7400000095367432,unplugged,false
1769154544554000000,296.2169997558594,0.7400000095367432,unplugged,false
1769154545557000000,297.22,0.7400000095367432,unplugged,false
1769154546561000000,298.224,0.7400000095367432,unplugged,false
1769154547561000000,299.224,0.7400000095367432,unplugged,false
1769154548561000000,300.224,0.7400000095367432,unplugged,false
1769154549570000000,301.2329997558594,0.7400000095367432,unplugged,false
1769154550570000000,302.2329997558594,0.7400000095367432,unplugged,false
1769154551570000000,303.2329997558594,0.7400000095367432,unplugged,false
1769154552571000000,304.234,0.7400000095367432,unplugged,false
1769154553572000000,305.235,0.7400000095367432,unplugged,false
1769154554573000000,306.236,0.7400000095367432,unplugged,false
1769154555575000000,307.238,0.7400000095367432,unplugged,false
1769154556576000000,308.239,0.7400000095367432,unplugged,false
1769154557576000000,309.239,0.7400000095367432,unplugged,false
1769154558576000000,310.239,0.7400000095367432,unplugged,false
