time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1766129333703806000,-7.719194091796875,827.3919284499838,1.2799865559710295,18.759162301199122,12.99655067952583,913.8019321120931,270.41292773836676,11.52206142085243,30,77.5519122527146,5.528732726603392
1766129341479899000,0.05689892578125,827.3919284499838,1.2799865559710295,18.759162301199122,12.99655067952583,913.8019321120931,270.41292773836676,11.52206142085243,30,77.5519122527146,5.528732726603392
1766129341479949000,0.056948974609375,0,-1,-1,12.996536281599242,913.865609154027,-1,16.995013999999998,30.002366958929006,77.55160672693943,-1
1766129342078779000,0.65577880859375,833.5162353515625,0.9900000095367432,18.322610825962844,12.996600447234695,919.9262390136719,297.0703125,22.025478346944748,6,77.55128365948568,3.4600000381469727
1766129342999779800,1.57677978515625,831.632080078125,0.8299999833106995,18.58258148615187,12.996620857168917,918.0420837402344,339.9609375,21.767766507464174,4,77.55128567114244,3.4600000381469727
1766129343999780600,2.576780517578125,831.325927734375,0.9300000071525574,13.72532063242763,12.996671777230684,917.7359313964844,350.15625,21.767766507464174,4,77.55128206692407,3.4600000381469727
1766129344999782000,3.576781982421875,828.89306640625,1.0700000524520874,13.921643321062245,12.99671289046574,915.3030700683594,352.6171875,21.767766507464174,3,77.55128818571339,4.409999847412109
1766129345999783000,4.576782958984375,828.176025390625,1.350000023841858,16.53509738620444,12.996758362290446,914.5860290527344,8.0859375,21.767766507464174,3,77.55129413686464,4.980000019073486
1766129346999783400,5.576783447265625,828.3941650390625,0.8700000047683716,8.550872623837165,12.99681548496056,914.8041687011719,338.90625,21.767766507464174,3,77.55126848824094,6.650000095367432
1766129347999653400,6.5766533203125,827.809326171875,1.3300000429153442,15.201308290368106,12.996862507437353,914.2193298339844,345.9375,21.767766507464174,3,77.55125541247199,6.650000095367432
1766129348999643400,7.576643310546875,827.430419921875,1.9500000476837158,18.25797333075243,12.996928934019987,913.8404235839844,348.5383605957031,21.767766507464174,3,77.5512430072553,6.650000095367432
1766129349999648000,8.57664794921875,826.75146484375,1.5299999713897705,18.284474464732078,12.99698010553885,913.1614685058594,348.5383605957031,21.767766507464174,3,77.55123068585763,5.670000076293945
1766129350999630000,9.576630126953125,827.298583984375,1.3300000429153442,17.38070895639787,12.997019428236872,913.7085876464844,347.0300598144531,21.767766507464174,3,77.55120575147797,5.400000095367432
1766129351999615500,10.576615478515626,827.796630859375,1.2599999904632568,16.603307070350773,12.997062500285649,914.2066345214844,347.0300598144531,21.767766507464174,3,77.55119563520499,4.880000114440918
1766129352999623000,11.576622802734375,827.6629638671875,1.1299999952316284,19.17650912316679,12.997100981712112,914.0729675292969,347.0300598144531,21.767766507464174,3,77.55118659712238,4.880000114440918
1766129353999596800,12.5765966796875,828.53564453125,0.8199999928474426,16.862755221068294,12.997129515111299,914.9456481933594,347.0300598144531,21.767766507464174,3,77.55117989552312,3.7899999618530273
1766129354999579000,13.576578857421875,828.5356456376612,0.8199999928472963,17.53122538828407,12.997162688343888,914.9456492997706,347.0300598144531,21.767766507462305,3.0000000000135576,77.55117210416486,3.7899999618523506
1766129355999584300,14.576584228515625,828.371338641271,0.7185619110416815,18.542665349041794,12.997179952277117,914.7813423033804,347.0300598144531,21.76776650746289,3.0000000000093094,77.55116804940361,3.14000010490379
1766129356999564300,15.576564208984376,828.9398200148717,0.8999999761580422,24.389839279015582,12.997200765968408,915.349823676981,323.4963684082031,21.767766507463012,3.0000000000084346,77.55116638195743,2.990000009536411
1766129357999541200,16.576541259765627,829.1579603748396,0.9200000166890953,17.581650083546474,12.99723848014559,915.567964036949,323.4963684082031,21.767766507461836,3.0000000000169558,77.55113791945043,4.239999771117218
1766129358999547000,17.576546875,829.1228045858443,1.4199999570842357,23.577954719104664,12.99727647108579,915.5328082479537,323.4963684082031,21.767766507461076,3.0000000000224767,77.5511092480665,4.880000114439476
1766129359999529500,18.576529541015624,829.5615248279646,1.6200000047680103,33.87264637723701,12.997295508520208,915.971528490074,323.4963684082031,21.76776650746184,3.000000000016945,77.5510948807037,4.239999771117218
1766129360999514400,19.576514404296876,829.9118666267022,0.718561911041609,13.7320694066545,12.997366750340582,916.3218702888116,347.7942810058594,21.767766507461833,3.0000000000169766,77.55113080835521,4.239999771117216
1766129361999524000,20.576524169921875,829.8061536755413,0.7185619110416154,14.029872241735282,12.997402587746471,916.2161573376507,347.7942810058594,21.76776650746193,3.000000000016275,77.55112319526597,4.150000095366542
1766129362999535000,21.57653515625,829.9860852276906,0.7300000190733403,14.750817990230116,12.997436407478359,916.3960888898,347.7942810058594,21.767766507462078,3.000000000015193,77.55111266482488,4.010000228881034
1766129363999544600,22.576544677734375,829.612061791122,0.7185619110416259,14.51969272266843,12.997470280824503,916.0220654532313,347.7942810058594,21.767766507462078,3.0000000000151936,77.55110299739631,4.010000228881034
