time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1766330520573650000,-6.98835009765625,812.2934417724609,-1,-1,12.976520439090448,898.7034454345703,-1,45.54768697824052,30.000000062302227,77.72468314995609,-1
1766330527626273300,0.064273193359375,811.4088740408525,-1,-1,12.976653042327703,896.8639826834307,-1,262.5818549424751,30.397183265573034,77.72447348782487,-1
1766330527647182800,0.085182861328125,811.4086847097999,-1,-1,12.97665321612442,896.863793352378,-1,262.6535389710264,30.530408090294234,77.72447303548945,-1
1766330529999466500,2.437466552734375,808.3994140625,1.0099999904632568,3.2258255607936794,12.977067748250473,894.8094177246094,276.328125,24.54705652757026,24,77.72081919755473,20.299999237060547
1766330530999464400,3.43746435546875,812.3106689453125,0.6700000166893005,2.141783185732507,12.977095898835628,898.7206726074219,276.328125,22.474183074934338,4,77.72056372132327,20.31999969482422
1766330531999464400,4.43746435546875,812.993408203125,0.30000001192092896,0.9936756639690246,12.977042806740243,899.4034118652344,275.5592956542969,21.834525986387632,4,77.72037045659829,20.299999237060547
1766330532999463700,5.437463623046875,813.6104736328125,0.6299999952316284,2.066704465715257,12.977060803146424,900.0204772949219,275.87957763671875,21.83120943301419,4,77.7201922315986,19.81999969482422
1766330533999504400,6.43750439453125,813.7103271484375,0.3100000023841858,1.0481718223658523,12.977078824925243,900.1203308105469,275.26995849609375,21.870454544946295,4,77.72000402404882,19.149999618530273
1766330534999461400,7.43746142578125,814.633056640625,0.4399999976158142,1.5293941877212758,12.97709869517164,901.0430603027344,276.8002624511719,21.865347354088847,4,77.71982233235865,19.149999618530273
1766330535999584300,8.437584228515625,814.89501953125,0.23999999463558197,0.8654220002725217,12.977117071428978,901.3050231933594,276.0447082519531,21.860455676730982,4,77.71966406610353,18.809999465942383
1766330536999599400,9.437599365234375,815.322265625,0.4099999964237213,1.5138034271670755,12.97713289226573,901.7322692871094,276.0447082519531,21.855357153252122,3,77.71951172073884,18.15999984741211
1766330537999606500,10.4376064453125,815.325927734375,0.49000000953674316,1.8598795074581012,12.977150625981572,901.7359313964844,276.4687194824219,21.509395499156426,3,77.71935214724519,17.25
1766330538999622000,11.437621826171876,815.906494140625,0.4000000059604645,1.522503487344085,12.977170560313882,902.3164978027344,276.4687194824219,21.579104498957104,3,77.71917287089661,17.25
1766330539999634700,12.437634765625,815.994140625,0.44999998807907104,1.8059261356568779,12.977186391266223,902.4041442871094,276.4687194824219,21.514719695940904,3,77.71903049767354,17.18000030517578
1766330540999637500,13.437637451171875,815.343994140625,1.0099999904632568,3.3917722637551324,12.977211318506486,901.7539978027344,275.5377502441406,21.52731531877723,3,77.71888270136566,16.309999465942383
1766330541999638000,14.437637939453126,815.3440149640664,1.0099999904599561,7.258974518679369,12.97722532469364,901.7540186261758,275.5377502441406,21.466693035930774,3.0000000002482827,77.71873954429623,16.30999946588908
1766330542999654400,15.437654296875,815.3635457577184,1.7599999904576318,8.841296412055124,12.977222773022678,901.7735494198278,275.5377502441406,21.69168264833227,3.0000000002478875,77.71858864421702,16.12999916071505
1766330543999665400,16.43766552734375,815.3279012255371,1.8600000142991697,9.34364292159444,12.97723850697253,901.7379048876464,275.5377502441406,15.782913968471485,3.0000000002628124,77.71844654493486,16.129999160715045
1766330544999682000,17.43768212890625,815.76515611168,1.8799999952259066,9.678114518586622,12.977254518778102,902.1751597737893,275.5377502441406,15.980688080459677,4.0000000001804965,77.71830805816894,15.739999771070257
1766330545999698700,18.43769873046875,816.1631040684879,0.8999999761555809,7.25897451867933,12.977265093545466,902.5731077305973,274.8888244628906,16.180166156093684,3.0000000002233773,77.71816836957038,15.220000266985497
1766330546999708400,19.43770849609375,816.048847024329,0.7185619110396378,7.258974518679387,12.977284226539087,902.4588506864384,274.8888244628906,21.987369144749024,3.0000000002301275,77.71805153669064,15.539999961806927
1766330547999722500,20.437722412109373,816.2893255418167,0.7185619110396378,7.25897451867932,12.977291644582985,902.699329203926,274.8888244628906,21.767766507433112,3.0000000002253793,77.7179113065473,15.539999961806926
1766330548999739100,21.4377392578125,816.0418887026608,0.8899999856922891,7.258974518679342,12.977294469445107,902.4518923647702,274.8888244628906,21.76776650743363,3.0000000002216205,77.71776990266046,15.409999847367159
1766330549999751000,22.4377509765625,816.5876650698483,0.7185619110396734,7.258974518679368,12.977301749296918,902.9976687319577,274.2666015625,21.76776650743363,3.0000000002216214,77.71762969732237,15.409999847367157
1766330550999763500,23.437763427734374,816.3735568830743,0.9700000286069222,7.258974518679309,12.977307246713313,902.7835605451837,274.2666015625,21.767766507428476,3.0000000002590297,77.71745355147817,16.659999847355312
1766330551999777300,24.43777734375,815.679953366518,1.6200000047628482,7.879118876610957,12.97731131194003,902.0899570286274,274.2666015625,22.1371716296168,3.0000000002682454,77.71732153643296,16.659999847355305
1766330552999788800,25.437788818359376,816.037861934863,1.749999999994469,8.840387263162583,12.977314179569149,902.4478655969724,274.37396240234375,22.147699642594073,3.000000000248895,77.71717514660655,16.04000091547665
1766330553999800600,26.437800537109375,815.3062920467928,1.8799999952264252,10.148801997637037,12.977324723349982,901.7162957089022,274.37396240234375,22.37087506110989,3.0000000002225455,77.71705049769811,15.010000228840292
1766330554999810300,27.437810302734373,814.694233160466,2.079999923699756,10.734981544596454,12.97733826749334,901.1042368225753,274.37396240234375,22.58835362454658,3.0000000002484186,77.71689130381085,15.699999809217594
1766330555999820800,28.43782080078125,815.131489019841,1.3600000143009963,7.258974518679349,12.977346146489587,901.5414926819503,274.37396240234375,22.189550168581537,3.0000000002394063,77.71676373115383,15.69999980921759
1766330556999829800,29.437829833984374,816.49586597085,0.7185619110399237,7.25897451867927,12.97736199760529,902.9058696329594,276.18310546875,21.991577048506826,3.00000000019935,77.7166445120198,14.460000038109825
1766330557999838700,30.437838623046876,816.4387370655313,0.7400000095348421,7.258974518679365,12.977386133731782,902.8487407276407,276.18310546875,21.893995548031018,3.0000000001975367,77.71651795523424,14.460000038109824
1766330558999847700,31.43784765625,816.7756483573467,0.7185619110402358,7.258974518679379,12.977400652549541,903.185652019456,276.5374450683594,21.767766507441824,3.0000000001621556,77.7163981454815,13.18000030514765
1766330559999855000,32.43785522460937,817.2407362470403,0.7185619110402359,7.258974518679413,12.97742169111936,903.6507399091497,276.5374450683594,21.767766507441824,3.000000000162155,77.71627367425812,13.180000305147649
1766330560999863000,33.43786303710937,817.6482056193054,1.389999985692208,8.995971715183991,12.977438140436606,904.0582092814147,276.608154296875,22.01789464944052,3.000000000149842,77.71616773080041,12.520000457739558
