time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1766301361000756200,-0.919243896484375,842.478759765625,0.09000000357627869,-1,12.999792236749146,928.8887634277344,-1,19.99198433784976,3,77.54983842083801,0
1766301362000738000,0.080738037109375,842.692138671875,0.07000000029802322,-1,12.99979174991212,929.1021423339844,-1,19.92170407639262,3,77.54984078724806,0
1766301363000723500,1.080723388671875,842.92822265625,0.23999999463558197,98.53952847655665,12.999794934437169,929.3382263183594,181.7578125,19.855080209490282,3,77.5498401563396,0
1766301364000702700,2.08070263671875,842.83740234375,0.6299999952316284,98.53952847655665,12.999794136563656,929.2474060058594,181.7578125,19.788426802216524,3,77.54983988432895,0
1766301365000687600,3.0806875,842.792724609375,0.6100000143051147,98.53952847655665,12.999793966015632,929.2027282714844,181.7578125,19.723997904591606,3,77.54983833355415,0
1766301366000669200,4.080669189453125,842.7927245842293,0.6820007491310404,-1,12.99979399251044,929.2027282463387,-1,19.664516997141018,3.0000000000000004,77.5498383718311,0
1766301367000646100,5.080646240234375,842.6074218507856,0.860886150012613,-1,12.99979380450443,929.017425512895,-1,19.603229027439042,3,77.54983830835882,0
1766301368000629500,6.08062939453125,842.3775634514168,0.860886150012613,-1,12.999802299454583,928.7875671135262,-1,14.64306654088339,3.0000000000000013,77.54984237348503,0
1766301369000613600,7.080613525390625,842.1663818089291,0.7267220660314242,-1,12.999798595793584,928.5763854710385,-1,11.904166027392504,3.0000000000000004,77.54984219182657,0
1766301370000592100,8.080592041015626,841.982177708298,0.7185619110417696,-1,12.99980179743682,928.3921813704073,-1,10.491604300612448,3,77.54984337777236,0
1766301371000571100,9.080571044921875,841.882324192673,0.7185619110417696,-1,12.99980373511457,928.2923278547823,-1,9.48804035383782,3.0000000000000004,77.54984414472662,0
1766301372000557300,10.080557373046876,841.6447753636166,0.7185619110417696,-1,12.999805073928137,928.054779025726,-1,8.731266904595198,3.9999999999999996,77.54984469777871,0
1766301373000538400,11.080538330078125,841.5146484132856,0.7185619110417696,-1,12.999806065783185,927.924652075395,-1,8.132324253066125,4,77.5498451362335,0
1766301374000521000,12.08052099609375,841.358398411423,0.7185619110417696,-1,12.99980680383705,927.7684020735323,-1,7.646602909617064,4,77.54984546893508,0
1766301375000504800,13.0805048828125,841.2788085695356,0.7185619110417696,-1,12.999812602077178,927.688812231645,-1,22.56710759095819,4,77.54984817474852,0
1766301376000490200,14.080490234375,841.3325195061043,0.7185619110417696,-1,12.999812602077178,927.7425231682137,-1,22.564383407885995,3.999999999999999,77.54984825856755,0
1766301377000476400,15.080476318359375,841.3790282942355,0.8832468751028236,-1,12.999812350620083,927.7890319563448,-1,22.591406203586807,3.9999999999999996,77.54984842620561,0
1766301378000464000,16.0804638671875,841.5618896232918,0.860886150012613,-1,12.999812266801051,927.9718932854012,-1,22.498412591623104,4,77.54984842620561,0
1766301379000452600,17.08045263671875,841.5458984104916,0.7185619110417696,-1,12.999812434439116,927.955902072601,-1,22.3407237134748,3.9999999999999996,77.54984859384368,0
1766301380000442400,18.0804423828125,841.5661620842293,0.7185619110417696,-1,12.999812141072505,927.9761657463387,-1,22.247454435429393,3.9999999999999996,77.54984851002465,0
1766301381000433000,19.080432861328124,841.5986327873543,1.1627553056502786,-1,12.999812224891535,928.0086364494637,-1,22.2513224167786,4,77.54985027022431,0
1766301382000424400,20.080424560546874,842.0944824144244,1.2100000381469689,180,12.999804964981717,928.5044860765338,113.5546884312547,22.272507855574524,3.000000000000235,77.54986203762729,0.4900000095367417
1766301383000416800,21.080416748046876,843.6315917987376,1.2000000476837103,162.05693690827917,12.999773120887872,930.041595460847,169.10156273519334,22.310524166581757,3.0000000000003575,77.54985475235348,0.600000023841855
1766301384000411000,22.080410888671874,843.2475585918874,1.2499999999999951,180,12.999772506179882,929.6575622539967,227.10937416455877,22.55683826813196,4.000000000000223,77.5498344863403,0.5500000119209268
1766301385000404500,23.080404541015625,842.501953122206,1.1799999475479084,173.84288446073325,12.999763972836398,928.9119567843154,176.13281257690585,22.613708659113026,4.000000000000225,77.54983351302597,0.550000011920927
1766301386000399600,24.080399658203124,838.4658916648477,3.4827386618407385,-1,12.99973141252476,924.8758953269571,-1,22.95703675716408,3,77.54984576423554,0.5184605550743099
1766301387000394500,25.08039453125,838.478823043406,3.8528757598962176,-1,12.999726882211002,924.8888267055154,-1,25.456238704853934,3,77.54984621252102,0.521033401014102
1766301388000391000,26.080390869140626,838.4863797938451,4.184706473180741,-1,12.999722198648312,924.8963834559545,-1,28.717893451888678,3,77.54984642141541,0.5206089397390005
1766301389000386800,27.08038671875,838.4904666719958,20,-1,12.999718037678717,924.9004703341052,-1,400.25360363424176,17.60634734925846,77.54984392124226,0.5143814480500811
1766301390000383500,28.080383544921876,838.5021696928889,20,-1,12.999714114407254,924.9121733549982,-1,400.2536036342418,18.221127358502798,77.5498397801848,0.5118318628661551
1766301391000381400,29.08038134765625,838.5130034480244,20,-1,12.99971183880244,924.9230071101338,-1,400.2536036342418,19.193174460738057,77.54984432294421,0.4568806896027334
1766301392000380200,30.080380126953123,838.5166959259659,20,-1,12.999656896528563,924.9266995880753,-1,400.2536036342418,20.00180126083352,77.54984408609975,1.1338713997677436
1766301393000379000,31.08037890625,838.5427506901324,4.8458325968002365,-1,12.999690305712265,924.9527543522418,-1,41.30950620282967,3,77.54989310980257,1.1702504700377423
1766301394000377600,32.08037768554688,838.2581237917766,-1,-1,12.999570879949777,924.668127453886,184.83779880553513,184.20743649534887,10.195541498590263,77.54989732284028,4.963946228755442
1766301395000377300,33.08037744140625,838.2433140035719,1.6974788642405194,28.447880392958464,12.999541379779664,924.6533176656812,191.93944773096572,19.6184504733606,3,77.5497766875518,6.068133698730946
