time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766302536830000000,4.265000244140625,0,1.5,7.469775676727295,100,0,0,796,77.5721511,12.9758239
1766302541833000000,9.268,0,1.5,7.469775676727295,100,0,0,796,77.5721511,12.9758239
1766302547352000000,14.787,0,1.5,7.469775676727295,100,0,0,796,77.5721511,12.9758239
1766302553037000000,20.472,0,1.5,7.469775676727295,100,0,0,796,77.5721511,12.9758239
1766302558041000000,25.476,0,1.5,7.469775676727295,100,0,0,796,77.5721511,12.9758239
1766302568363000000,35.798,45,1.5,7.469775676727295,100,2.9726016521453857,87.17897033691406,796,77.5724844,12.9758399
1766302578489000000,45.924,45,1.5,7.469775676727295,100,0.13349297642707825,87.17897033691406,796,77.5722767,12.9758299
1766302675836000000,143.271,0,0,7.469775676727295,100,0,0,796,77.5846874,12.9750153
1766302681403000000,148.838,0,0,7.469775676727295,100,0,0,796,77.5846874,12.9750153
1766302686960000000,154.395,0,0,7.469775676727295,100,0,0,796,77.5846874,12.9750153
1766302692060000000,159.495,0,0,7.469775676727295,100,0,0,796,77.5846874,12.9750153
1766302765070000000,232.50500024414063,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302770152000000,237.587,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302775726000000,243.16100024414064,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302781298000000,248.73299975585937,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302786880000000,254.315,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302791975000000,259.41,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302797519000000,264.954,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302802995000000,270.43,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302807999000000,275.434,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302813526000000,280.9610002441406,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302818534000000,285.9690002441406,0,0,7.469775676727295,100,0,0,796,77.5925667,12.9796331
1766302823628000000,291.063,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302828633000000,296.068,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302834254000000,301.68900024414063,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302839258000000,306.6929997558594,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302844808000000,312.243,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302849809000000,317.244,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302860082000000,327.5169997558594,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302865625000000,333.06,0,0,7.469775676727295,100,0,0,796,77.6018778,12.9776088
1766302870629000000,338.064,0,0,7.469775676727295,100,0,0,796,77.6008035,12.9789699
1766302875886000000,343.32100024414063,0,0,7.469775676727295,100,0,0,796,77.6008035,12.9786167
1766302881402000000,348.8369997558594,0,0,7.469775676727295,100,0,0,796,77.6008035,12.9786167
1766302886478000000,353.9130002441406,0,0,11.324687957763672,84.8499984741211,0,0,843,77.5978122,12.980799
1766302892014000000,359.4490002441406,0,0,11.324687957763672,118.06500244140625,0,0,843,77.5978122,12.980799
1766302897112000000,364.547,0,0,10.400625228881836,76.9020004272461,0,0,843,77.5978113,12.9808021
1766302902575000000,370.01,0,0,10.400625228881836,109.68000030517578,0,0,843,77.5978113,12.9808021
1766302908120000000,375.555,0,0,10.400625228881836,142.9499969482422,0,0,843,77.5978113,12.9808021
1766302913396000000,380.831,0,0,10.400625228881836,174.6060028076172,0,0,843,77.5978113,12.9808021
1766302918653000000,386.088,0,0,10.400625228881836,206.1479949951172,0,0,843,77.5978113,12.9808021
1766302925891000000,393.326,0,0,10.400625228881836,249.5760040283203,0,0,843,77.5978113,12.9808021
1766302931411000000,398.846,0,0,10.400625228881836,282.69500732421875,0,0,843,77.5978113,12.9808021
1766302938628000000,406.063,0,0,10.400625228881836,325.99798583984375,0,0,843,77.5978113,12.9808021
1766302945861000000,413.296,0,0,10.400625228881836,369.39599609375,0,0,843,77.5978113,12.9808021
1766302953079000000,420.514,0,0,10.400625228881836,412.7040100097656,0,0,843,77.5978113,12.9808021
1766302960304000000,427.739,0,0,10.400625228881836,456.0539855957031,0,0,843,77.5978113,12.9808021
1766302967524000000,434.959,0,0,10.400625228881836,100,0,0,843,77.6015197,12.9793576
1766302974737000000,442.172,0,0,10.400625228881836,200,0,0,843,77.6033103,12.9769713
1766302979747000000,447.182,0,0,10.400625228881836,100,0,0,843,77.6025941,12.9765836
1766302987088596200,454.5235961914062,10.64035415649414,1.3338731527328491,11.30039119720459,41.284000396728516,8.109999656677246,112,843,77.6025494,12.9767217
1766302988088935000,455.5239348144531,27.428115844726562,3.6691091060638428,16.622013092041016,33.46200180053711,8.369999885559082,112,845.8999633789062,77.6024321,12.9766315
1766302989089129000,456.52412890625,16.712326049804688,3.7463788986206055,16.632015228271484,30.92300033569336,8.369999885559082,111,845.8999633789062,77.6025089,12.9766228
1766302990089215000,457.52421508789064,29.714567184448242,3.9775288105010986,16.64201545715332,29.82699966430664,8.300000190734863,110,845.8999633789062,77.6025794,12.9766016
1766302990762000000,458.1969997558594,0,0,4.401733875274658,30.285999298095703,0,0,846.2000122070312,77.6025794,12.9766016
1766302996089171000,463.5241708984375,17.85378074645996,2.511850118637085,4.455005645751953,29.530000686645508,8.949999809265137,102,846.2000122070312,77.6029966,12.9765733
1766302997089211400,464.52421142578123,21.57219123840332,2.86466646194458,15.036091804504395,30.631999969482422,8.760000228881836,105,845.7999877929688,77.6029945,12.9764684
1766302998088308000,465.52330786132814,24.387432098388672,3.1647393703460693,15.046083450317383,32.41699981689453,8.760000228881836,105,845.7999877929688,77.6030725,12.9764482
1766302999088524300,466.52352416992187,26.83432388305664,3.420212745666504,15.056085586547852,34.500999450683594,8.760000228881836,105,845.7999877929688,77.6031505,12.976428
1766303000088648700,467.5236486816406,29.009899139404297,3.6576669216156006,15.066086769104004,36.816001892089844,8.75,105,845.7999877929688,77.6032285,12.9764078
