time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1766299729143277300,0.55827734375,0,0.07154769450426102,1.182932734489441,3.7899999618530273,0,0,839.5,77.5965591,13.0167682
1766299730150220000,1.565219970703125,0,0.07159550487995148,1.0127521753311157,3.7899999618530273,0,0,839.5,77.5965592,13.0167683
1766299731156898600,2.571898681640625,0,0.07079677283763885,1.0228190422058105,3.7899999618530273,0,0,839.5,77.5965593,13.0167684
1766299732154363400,3.56936328125,0,0.070704884827137,1.032793641090393,3.7899999618530273,0,0,839.5,77.5965593,13.0167684
1766299733145218800,4.56021875,0,0.2052127867937088,1.0427021980285645,3.7899999618530273,0,0,839.5,77.5965593,13.0167684
1766299734154696700,5.56969677734375,11.470537185668945,0.5421837568283081,1.0527969598770142,3.7899999618530273,3.049999952316284,132,839.5,77.5965762,13.0167549
1766299735143899000,6.55889892578125,26.528324127197266,1.0723559856414795,1.0420689582824707,3.7899999618530273,2.5299999713897705,135,839.5,77.5965935,13.016739
1766299736152124700,7.567124755859375,21.74519157409668,1.2670334577560425,1.0521512031555176,3.7899999618530273,3.700000047683716,125,839.5,77.5966215,13.0167207
1766299737144140300,8.559140380859375,12.16008472442627,0.6888322234153748,1.062071442604065,3.7899999618530273,1.6299999952316284,113,839.5,77.5966469,13.0167162
1766299738156881400,9.57188134765625,11.804463386535645,0.5024486780166626,1.0721988677978516,3.7899999618530273,2.75,110,839.5,77.5966757,13.0167119
1766299739145068000,10.560068115234374,9.116512298583984,0.8338865637779236,1.0820807218551636,3.7899999618530273,5.920000076293945,109,839.5,77.5967422,13.0166997
1766299740152054500,11.567054443359375,9.145223617553711,0.8474828600883484,1.0921505689620972,3.7899999618530273,6,123,839.5,77.5967802,13.0166577
1766299741147889400,12.562889404296875,15.021021842956543,1.4201650619506836,1.1021088361740112,3.7899999618530273,6.090000152587891,121,839.5,77.5968333,13.0166261
1766299742145612800,13.56061279296875,8.589773178100586,1.368263602256775,1.1120861768722534,3.7899999618530273,6.909999847412109,120,839.5,77.5968959,13.0165828
1766299743145353500,14.560353515625,6.485438346862793,1.1523089408874512,1.1220835447311401,3.7899999618530273,7.610000133514404,120,839.5,77.5969737,13.0165439
1766299744154886400,15.569886474609374,3.9303030967712402,0.8634498119354248,1.1321789026260376,3.7899999618530273,7.519999980926514,116,839.5,77.59706,13.0165293
1766299745144506400,16.55950634765625,4.202880859375,1.0142790079116821,1.1420750617980957,4.814000129699707,6.5,114,839.5,77.5971155,13.0165002
1766299746151530500,17.566530517578126,4.3301262855529785,0.7907549142837524,1.152145266532898,6.248000144958496,4.25,116,839.5,77.5971563,13.0164802
1766299747150815200,18.565815185546874,4.649557590484619,0.9361324310302734,1.1621381044387817,7.4770002365112305,4.400000095367432,124,839.5,77.5971947,13.0164635
1766299748143268000,19.55826806640625,4.901644229888916,1.0884159803390503,1.172062635421753,7.886000156402588,5.639999866485596,112,839.5,77.5972488,13.0164363
1766299749146451000,20.561450927734374,5.03537654876709,1.1773622035980225,1.1820944547653198,8.90999984741211,6.510000228881836,95,839.5,77.5973106,13.0164226
1766299750148602600,21.5636025390625,6.974365234375,1.0178248882293701,1.0285260677337646,9.9350004196167,7.579999923706055,106,841,77.5973907,13.0163991
1766299751151814700,22.566814697265624,2.4597792625427246,0.2916032373905182,1.0385581254959106,9.9350004196167,7.639999866485596,115,841,77.5974513,13.0163749
1766299752150298000,23.565298095703124,6.979640483856201,0.858130693435669,1.0485429763793945,9.9350004196167,7.949999809265137,114,841,77.5975191,13.0163449
1766299753145371400,24.560371337890626,13.302508354187012,1.091380000114441,1.058493733406067,9.9350004196167,5.300000190734863,114,841,77.5975613,13.0163282
1766299754153603800,25.568603759765626,17.162628173828125,0.7449231743812561,1.0685759782791138,9.9350004196167,2.7799999713897705,123,841,77.5975883,13.0163102
1766299755143382000,26.558382080078125,15.51181697845459,0.6218168139457703,1.042313814163208,9.9350004196167,2.5799999237060547,122,842.7999877929688,77.5976107,13.0162908
1766299756146250500,27.56125048828125,10.751081466674805,0.37598171830177307,1.0523425340652466,9.9350004196167,0.699999988079071,133,842.7999877929688,77.5976114,13.0162829
1766299757145788700,28.56078857421875,11.047981262207031,0.7127751708030701,1.062337875366211,9.9350004196167,0.6800000071525574,133,842.7999877929688,77.5976168,13.0162775
1766299758147842800,29.5628427734375,11.737747192382812,0.6996152400970459,1.0723583698272705,9.9350004196167,0.699999988079071,133,842.7999877929688,77.5976225,13.0162738
1766299759143731500,30.5587314453125,0,0.06759538501501083,1.0823173522949219,8.90999984741211,0,0,842.7999877929688,77.5976242,13.0162726
1766299760146732000,31.56173193359375,0,0.07063156366348267,1.092347264289856,7.4770002365112305,0,0,842.7999877929688,77.5976262,13.0162717
1766299761144008000,32.55900805664062,0,0.07069932669401169,1.1023200750350952,6.861999988555908,0,0,842.7999877929688,77.5976269,13.0162719
1766299762149765600,33.564765625,11.791985511779785,0.7280286550521851,1.2453585863113403,5.019000053405762,0.23999999463558197,133,846.5999755859375,77.5976272,13.016271
1766299763153967400,34.56896728515625,1.8460694551467896,0.06352033466100693,1.255400538444519,3.7899999618530273,2.2100000381469727,162,846.5999755859375,77.5976313,13.0162567
1766299764155799000,35.57079907226562,1.4218332767486572,0.0814691036939621,1.2654188871383667,3.7899999618530273,3.680000066757202,165,846.5999755859375,77.597638,13.016229
1766299765154177000,36.56917700195312,2.685577630996704,0.099362313747406,1.2754026651382446,3.7899999618530273,2.380000114440918,155,846.5999755859375,77.5976452,13.0162067
1766299766153661400,37.56866137695312,1.124706745147705,0.0887303575873375,1.2853975296020508,3.7899999618530273,5.070000171661377,156,846.5999755859375,77.5976618,13.0161717
1766299767145294600,38.560294677734376,11.180240631103516,0.9957906603813171,1.295313835144043,3.7899999618530273,5.760000228881836,167,846.5999755859375,77.5976681,13.0161213
1766299768148639700,39.5636396484375,0.43691006302833557,0.05260193347930908,1.3053473234176636,3.7899999618530273,7.730000019073486,173,846.5999755859375,77.5976744,13.016056
1766299769150436900,40.56543676757813,0.37956029176712036,0.0490439273416996,1.315365195274353,3.7899999618530273,8.289999961853027,174,846.5999755859375,77.5976848,13.0159854
1766299770151182600,41.5661826171875,5.3428635597229,0.899042010307312,1.3253726959228516,3.7899999618530273,8.260000228881836,176,846.5999755859375,77.5976905,13.0159122
1766299771151428400,42.56642846679687,5.999772071838379,0.9278678894042969,1.335375189781189,3.7899999618530273,8.65999984741211,184,846.5999755859375,77.5976881,13.0158329
1766299772144459800,43.55945971679687,4.895092487335205,0.9349089860916138,1.3453054428100586,3.7899999618530273,8.949999809265137,187,846.5999755859375,77.59768,13.015752
